"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"01 Vientiane Capital",1,2024,14,15,140,1009287,0,31.7285714285714,38.3428571428571,25.0571428571429,-0.66477514015161
"01 Vientiane Capital",1,2024,15,13,132,1009287,0,32.8857142857143,38.0428571428571,27.7,-0.66477514015161
"01 Vientiane Capital",1,2024,16,23,143,1009287,8.1,33.4714285714286,39.0285714285714,27.8428571428571,-0.478874824658991
"01 Vientiane Capital",1,2024,17,33,160,1009287,1.5,31.8571428571429,37.4714285714286,26.2,-0.630349155801125
"01 Vientiane Capital",1,2024,18,23,185,1009287,0,32.1571428571429,37.1714285714286,27.1285714285714,-0.66477514015161
"01 Vientiane Capital",1,2024,19,26,162,1009287,7,32.7285714285714,38.0142857142857,27.4,-0.504120546516013
"01 Vientiane Capital",1,2024,20,24,117,1009287,117.3,30.2714285714286,34.4142857142857,26.0714285714286,2.02733683605632
"01 Vientiane Capital",1,2024,21,28,153,1009287,2.2,32.2571428571429,37.6857142857143,26.8,-0.614283696437565
"01 Vientiane Capital",1,2024,22,31,126,1009287,10.7,30.8142857142857,35.4428571428571,26.1,-0.419203118451483
"01 Vientiane Capital",1,2024,23,46,167,1009287,41.5,29.8857142857143,34.5571428571429,25.1428571428571,0.287677093545144
"01 Vientiane Capital",1,2024,24,58,156,1009287,60.8,29.5285714285714,33.2285714285714,25.7714285714286,0.730624758854718
"01 Vientiane Capital",1,2024,25,82,188,1009287,40.2,29.3571428571429,33.1571428571429,25.4714285714286,0.25784124044139
"01 Vientiane Capital",1,2024,26,115,169,1009287,116.4,29.3857142857143,33.4285714285714,25.3,2.00668124544603
"01 Vientiane Capital",1,2024,27,201,188,1009287,101.8,29.3,33.4857142857143,25.0571428571429,1.67160166443464
"01 Vientiane Capital",1,2024,28,243,162,1009287,27.8,30.4714285714286,34.7571428571429,26.1428571428571,-0.0267468968559534
"01 Vientiane Capital",1,2024,29,297,128,1009287,55.3,29.7428571428571,33.8571428571429,25.5571428571429,0.604396149569606
"01 Vientiane Capital",1,2024,30,349,94,1009287,27.4,30.1571428571429,34.7571428571429,25.5142857142857,-0.0359271593494161
"01 Vientiane Capital",1,2024,31,328,104,1009287,149.7,27.6428571428571,29.9857142857143,25.2428571428571,2.7709380980268
"01 Vientiane Capital",1,2024,32,300,75,1009287,61.5,27.0285714285714,29.3571428571429,24.6714285714286,0.746690218218278
"02 Phongsali",2,2024,14,3,9,197569,0.5,23.4428571428571,31.2142857142857,15.6428571428571,-0.768311424784964
"02 Phongsali",2,2024,15,2,2,197569,0,24.0428571428571,30.8142857142857,17.2142857142857,-0.78018849069854
"02 Phongsali",2,2024,16,1,2,197569,0,25.2,32.3571428571429,18,-0.78018849069854
"02 Phongsali",2,2024,17,0,12,197569,30,24.4428571428571,32.5714285714286,16.2857142857143,-0.0675645358839926
"02 Phongsali",2,2024,18,6,14,197569,72.7,22.6857142857143,28.6428571428571,16.6714285714286,0.94673689313538
"02 Phongsali",2,2024,19,3,12,197569,3.5,25.5428571428571,31.2428571428571,19.8285714285714,-0.697049029303509
"02 Phongsali",2,2024,20,0,15,197569,68.5,21.4714285714286,26,16.9,0.846969539461343
"02 Phongsali",2,2024,21,0,6,197569,5.7,24.9428571428571,31.8571428571429,18,-0.644789939283776
"02 Phongsali",2,2024,22,1,23,197569,22,25.4571428571429,31.0714285714286,19.7857142857143,-0.257597590501205
"02 Phongsali",2,2024,23,0,11,197569,92.3,23.1428571428571,27.1,19.1428571428571,1.41231787694755
"02 Phongsali",2,2024,24,0,23,197569,77.8,22.8428571428571,26.2857142857143,19.3571428571429,1.06788296545385
"02 Phongsali",2,2024,25,2,26,197569,22.9,23.8571428571429,27.9285714285714,19.7142857142857,-0.236218871856769
"02 Phongsali",2,2024,26,9,14,197569,31.8,23.4857142857143,27.7857142857143,19.1428571428571,-0.0248070985951199
"02 Phongsali",2,2024,27,4,17,197569,15.6,24.7857142857143,28.3142857142857,21.1857142857143,-0.409624034194975
"02 Phongsali",2,2024,28,8,11,197569,109.4,23.2,26.9285714285714,19.4285714285714,1.81851353119184
"02 Phongsali",2,2024,29,31,13,197569,50.8,23.4428571428571,27.2142857142857,19.6428571428571,0.42652140612076
"02 Phongsali",2,2024,30,24,17,197569,60,24.3285714285714,28.3,20.2857142857143,0.645059418930555
"02 Phongsali",2,2024,31,26,17,197569,177.3,21.6142857142857,24.1142857142857,19.0714285714286,3.43141908225543
"02 Phongsali",2,2024,32,18,14,197569,113.7,21.4857142857143,24.1571428571429,18.7857142857143,1.92065629804859
"03 Louangnamtha",3,2024,14,5,72,208848,0,25.1,35.2571428571429,14.8571428571429,-0.704093294772366
"03 Louangnamtha",3,2024,15,8,56,208848,0,26.0142857142857,35.7714285714286,16.2142857142857,-0.704093294772366
"03 Louangnamtha",3,2024,16,14,65,208848,0,27.4857142857143,37.5285714285714,17.4,-0.704093294772366
"03 Louangnamtha",3,2024,17,13,71,208848,81.8,27.5285714285714,36.4,18.6285714285714,1.40481227996341
"03 Louangnamtha",3,2024,18,6,90,208848,37.9,26.5142857142857,33.6714285714286,19.3285714285714,0.273015767360713
"03 Louangnamtha",3,2024,19,5,96,208848,11.3,28.1571428571429,35.5142857142857,20.7571428571429,-0.412765263054587
"03 Louangnamtha",3,2024,20,8,112,208848,63.6,25.3428571428571,30.5857142857143,20.0571428571429,0.935593680205572
"03 Louangnamtha",3,2024,21,4,171,208848,16.6,27.6142857142857,35.8142857142857,19.3857142857143,-0.276124681806426
"03 Louangnamtha",3,2024,22,4,117,208848,7.7,28.3428571428571,35.0571428571429,21.5714285714286,-0.505577733336357
"03 Louangnamtha",3,2024,23,9,119,208848,81.5,27.7142857142857,33.3428571428571,22.0571428571429,1.39707790743993
"03 Louangnamtha",3,2024,24,7,96,208848,38.3,26.9428571428571,31.5428571428571,22.2857142857143,0.283328264058688
"03 Louangnamtha",3,2024,25,12,108,208848,8.2,27.4285714285714,32.3428571428571,22.4571428571429,-0.492687112463889
"03 Louangnamtha",3,2024,26,39,68,208848,64.2,27.8285714285714,33.0857142857143,22.5,0.951062425252533
"03 Louangnamtha",3,2024,27,32,85,208848,8.6,27.8285714285714,32.4142857142857,23.2142857142857,-0.482374615765915
"03 Louangnamtha",3,2024,28,56,49,208848,74.8,26.7428571428571,31.4571428571429,21.9857142857143,1.22434358774886
"03 Louangnamtha",3,2024,29,74,57,208848,35.2,26.8714285714286,31.5285714285714,22.1857142857143,0.203406414649386
"03 Louangnamtha",3,2024,30,97,60,208848,15.7,27.9857142857143,33.8142857142857,22.1,-0.299327799376869
"03 Louangnamtha",3,2024,31,82,51,208848,150.3,26.0571428571429,29.1571428571429,22.9,3.17082733949153
"03 Louangnamtha",3,2024,32,100,54,208848,172.2,23.2857142857143,25.2428571428571,21.3571428571429,3.73543653370563
"04 Oudomxai",4,2024,14,10,174,360811,0,25.4,34.1142857142857,16.6571428571429,-0.688885554143444
"04 Oudomxai",4,2024,15,22,177,360811,0,27.0285714285714,35.5428571428571,18.4285714285714,-0.688885554143444
"04 Oudomxai",4,2024,16,48,199,360811,0,28.7857142857143,37.6,19.9285714285714,-0.688885554143444
"04 Oudomxai",4,2024,17,33,177,360811,50.7,28.2857142857143,36.0571428571429,20.5,0.809041019570783
"04 Oudomxai",4,2024,18,49,145,360811,15.2,7.41428571428571,33.6142857142857,18.2571428571429,-0.239803031057522
"04 Oudomxai",4,2024,19,55,186,360811,3,0,34.4428571428571,17.7571428571429,-0.600250845639643
"04 Oudomxai",4,2024,20,107,176,360811,59.2,0,37.2571428571429,19.2714285714286,1.06017269366488
"04 Oudomxai",4,2024,21,56,229,360811,11.9,0,36.8571428571429,20.3714285714286,-0.337301210411702
"04 Oudomxai",4,2024,22,156,211,360811,6.9,0,29.6714285714286,18.0142857142857,-0.485025724584703
"04 Oudomxai",4,2024,23,221,191,360811,60.7,0,33.0714285714286,22.2714285714286,1.10449004791678
"04 Oudomxai",4,2024,24,198,160,360811,32.4,0,30.9857142857143,22.8,0.2683692976976
"04 Oudomxai",4,2024,25,249,139,360811,37.9,0,31.7714285714286,23,0.430866263287901
"04 Oudomxai",4,2024,26,388,177,360811,86.8,0,32.2285714285714,22.7,1.87561201189985
"04 Oudomxai",4,2024,27,508,154,360811,38.5,0,32.1428571428571,23.7,0.448593204988661
"04 Oudomxai",4,2024,28,425,152,360811,63.7,0,31.9285714285714,22.6285714285714,1.19312475642058
"04 Oudomxai",4,2024,29,465,119,360811,61.7,0,30.9,22.7285714285714,1.13403495075138
"04 Oudomxai",4,2024,30,453,106,360811,16.2,0,32.7857142857143,22.9714285714286,-0.210258128222922
"04 Oudomxai",4,2024,31,349,65,360811,73.2,0,29.8428571428571,23.4,1.47380133334929
"04 Oudomxai",4,2024,32,247,89,360811,283.5,0,23.4428571428571,20.9285714285714,7.68709439946569
"05 Bokeo",5,2024,14,0,142,213271,0,28.5285714285714,37,20.0285714285714,-0.72121004023683
"05 Bokeo",5,2024,15,0,103,213271,0,28.4857142857143,38.5142857142857,18.4285714285714,-0.72121004023683
"05 Bokeo",5,2024,16,0,125,213271,1.2,29.7,39.4142857142857,19.9285714285714,-0.689822565172845
"05 Bokeo",5,2024,17,0,147,213271,13.6,29.1142857142857,37.6714285714286,20.5,-0.365485322844996
"05 Bokeo",5,2024,18,1,127,213271,82.9,27.9142857142857,34.6714285714286,21.1,1.44714136210016
"05 Bokeo",5,2024,19,1,149,213271,23.5,30.2428571428571,36.5428571428571,23.9,-0.106538653567116
"05 Bokeo",5,2024,20,2,159,213271,60.4,27.4714285714286,32.2857142857143,22.6,0.858626204650435
"05 Bokeo",5,2024,21,0,211,213271,19.8,30.1571428571429,36.8428571428571,23.4571428571429,-0.203316701681071
"05 Bokeo",5,2024,22,8,189,213271,0,29.8714285714286,35.6285714285714,24.0571428571429,-0.72121004023683
"05 Bokeo",5,2024,23,12,155,213271,49,28.6428571428571,33.2142857142857,24,0.560445191542574
"05 Bokeo",5,2024,24,14,133,213271,5.4,28.1428571428571,32.2714285714286,23.9285714285714,-0.579966402448896
"05 Bokeo",5,2024,25,12,126,213271,11.7,28.8,33.4857142857143,24.0714285714286,-0.415182158362973
"05 Bokeo",5,2024,26,17,104,213271,95.7,28.2428571428571,32.4142857142857,24.0571428571429,1.78194109611601
"05 Bokeo",5,2024,27,28,114,213271,4.4,28.8428571428571,33.0285714285714,24.6,-0.606122631668884
"05 Bokeo",5,2024,28,43,119,213271,64.7,27.9571428571429,32.8285714285714,23.0571428571429,0.971097990296383
"05 Bokeo",5,2024,29,45,101,213271,10.8,28.0428571428571,32.3571428571429,23.6857142857143,-0.438722764660961
"05 Bokeo",5,2024,30,56,63,213271,33.9,29.1,33.7428571428571,24.4,0.165486130320757
"05 Bokeo",5,2024,31,65,59,213271,59.2,26.5571428571429,29.2714285714286,23.8,0.82723872958645
"05 Bokeo",5,2024,32,80,68,213271,35.2,24.5428571428571,26.5571428571429,22.5,0.199489228306742
"06 Louangphabang",6,2024,14,16,133,477651,0,28.9428571428571,37.8142857142857,NA,-0.607552468317222
"06 Louangphabang",6,2024,15,7,120,477651,0,31.7428571428571,39.8857142857143,23.5571428571429,-0.607552468317222
"06 Louangphabang",6,2024,16,12,195,477651,0,33.5285714285714,41.4428571428571,25.5714285714286,-0.607552468317222
"06 Louangphabang",6,2024,17,27,141,477651,0,32.4,39.9285714285714,24.8,-0.607552468317222
"06 Louangphabang",6,2024,18,23,154,477651,12.4,30.5714285714286,37.7714285714286,23.3142857142857,-0.337821007006624
"06 Louangphabang",6,2024,19,24,153,477651,102.4,31.9428571428571,39.1714285714286,24.6428571428571,1.61990734121546
"06 Louangphabang",6,2024,20,32,201,477651,55.3,28.4142857142857,33.9285714285714,22.8571428571429,0.595362838979235
"06 Louangphabang",6,2024,21,25,109,477651,2.5,31.5285714285714,38.6,24.4,-0.553171125311053
"06 Louangphabang",6,2024,22,20,125,477651,25.5,31.2714285714286,37.7714285714286,24.7571428571429,-0.0528627696542986
"06 Louangphabang",6,2024,23,32,80,477651,25.2,29.9285714285714,36,23.8285714285714,-0.0593885308150389
"06 Louangphabang",6,2024,24,65,87,477651,32.4,28.9571428571429,33.5571428571429,24.3,0.0972297370427277
"06 Louangphabang",6,2024,25,97,133,477651,0.8,29.7142857142857,34.8,24.5857142857143,-0.590150438555248
"06 Louangphabang",6,2024,26,110,126,477651,129.3,29.1428571428571,34.3428571428571,23.8714285714286,2.20505059196184
"06 Louangphabang",6,2024,27,223,139,477651,44,30.2714285714286,34.5142857142857,25.9857142857143,0.349559168591352
"06 Louangphabang",6,2024,28,241,124,477651,26.4,29.5285714285714,34.6714285714286,24.3571428571429,-0.0332854861720778
"06 Louangphabang",6,2024,29,246,138,477651,45.8,29.0285714285714,33.8428571428571,24.1428571428571,0.388713735555794
"06 Louangphabang",6,2024,30,283,107,477651,37.9,30.3,36.1,24.4714285714286,0.216868691656299
"06 Louangphabang",6,2024,31,284,64,477651,119.8,27.6285714285714,31.0714285714286,24.1285714285714,1.99840148853839
"06 Louangphabang",6,2024,32,280,68,477651,308.3,24.4,26.1857142857143,22.5857142857143,6.09875475120354
"07 Houaphan",7,2024,14,0,182,317049,4,23.0714285714286,30.6571428571429,15.4714285714286,-0.562367141360761
"07 Houaphan",7,2024,15,0,166,317049,0,23.3142857142857,29.0285714285714,17.5285714285714,-0.644855016504334
"07 Houaphan",7,2024,16,0,234,317049,0.3,25.7,32.2857142857143,19.0714285714286,-0.638668425868566
"07 Houaphan",7,2024,17,0,203,317049,8.7,24.4,30.8428571428571,17.9285714285714,-0.465443888067063
"07 Houaphan",7,2024,18,0,201,317049,44.4,24.6285714285714,30.6285714285714,18.6142857142857,0.270760397589322
"07 Houaphan",7,2024,19,0,219,317049,23.1,25.9571428571429,31.8571428571429,20,-0.168487537550202
"07 Houaphan",7,2024,20,0,203,317049,20.7,22.6285714285714,27.0857142857143,18.1,-0.217980262636345
"07 Houaphan",7,2024,21,0,203,317049,17.8,26.6571428571429,33.7285714285714,19.5714285714286,-0.277783972115436
"07 Houaphan",7,2024,22,0,186,317049,26.8,26.6571428571429,32.1,21.1714285714286,-0.0921862530423973
"07 Houaphan",7,2024,23,0,132,317049,141,25.8428571428571,30.0714285714286,21.5571428571429,2.2628425823066
"07 Houaphan",7,2024,24,0,128,317049,140.6,25.3571428571429,29.7285714285714,20.9714285714286,2.25459379479224
"07 Houaphan",7,2024,25,0,147,317049,57.4,25.6142857142857,29.7,21.5142857142857,0.538845991805933
"07 Houaphan",7,2024,26,0,144,317049,30.6,25.5142857142857,29.5142857142857,21.5,-0.0138227716560034
"07 Houaphan",7,2024,27,0,168,317049,32,26.9142857142857,31.4571428571429,22.3285714285714,0.015047984644247
"07 Houaphan",7,2024,28,1,167,317049,15.8,25.6285714285714,30.4714285714286,20.7571428571429,-0.319027909687222
"07 Houaphan",7,2024,29,1,191,317049,15.5,25.6,29.6571428571429,21.5,-0.32521450032299
"07 Houaphan",7,2024,30,1,157,317049,0,26.3857142857143,31.7714285714286,20.9857142857143,-0.644855016504334
"07 Houaphan",7,2024,31,0,170,317049,242.7,24.6857142857143,27.6142857142857,21.7142857142857,4.36009680783193
"07 Houaphan",7,2024,32,0,158,317049,86.1,23.1857142857143,25.2857142857143,21.1142857142857,1.13069649596107
"08 Xainyabouli",8,2024,14,0,62,439382,0,27.8285714285714,36.9857142857143,18.6428571428571,-0.727755879458796
"08 Xainyabouli",8,2024,15,7,43,439382,0,30.5,38.7571428571429,22.2142857142857,-0.727755879458796
"08 Xainyabouli",8,2024,16,8,71,439382,14.7,31.3571428571429,39.7285714285714,22.9714285714286,-0.333193709912425
"08 Xainyabouli",8,2024,17,11,54,439382,0,29.2714285714286,37,21.4857142857143,-0.727755879458796
"08 Xainyabouli",8,2024,18,19,60,439382,4.5,29.5,36.9142857142857,22.0714285714286,-0.60697154184256
"08 Xainyabouli",8,2024,19,30,51,439382,38.9,31.4571428571429,39.2142857142857,23.6714285714286,0.316357616823779
"08 Xainyabouli",8,2024,20,32,51,439382,64.8,28.3285714285714,33.9,22.7142857142857,1.011538582215
"08 Xainyabouli",8,2024,21,65,48,439382,21.2,30.2571428571429,37.3285714285714,23.1571428571429,-0.15872744446675
"08 Xainyabouli",8,2024,22,45,64,439382,67.2,29.3857142857143,35.0714285714286,23.6857142857143,1.07595689561033
"08 Xainyabouli",8,2024,23,69,56,439382,37.5,29.4714285714286,34.8571428571429,24.0428571428571,0.278780267343172
"08 Xainyabouli",8,2024,24,62,53,439382,10.2,28.5285714285714,33.2142857142857,23.8142857142857,-0.453978047528661
"08 Xainyabouli",8,2024,25,84,43,439382,0,29.1285714285714,34.1428571428571,24.0714285714286,-0.727755879458796
"08 Xainyabouli",8,2024,26,114,33,439382,55.6,28.1714285714286,32.8,23.4714285714286,0.764601714199589
"08 Xainyabouli",8,2024,27,174,59,439382,25.3,28.9285714285714,34.0142857142857,23.8142857142857,-0.0486794924164015
"08 Xainyabouli",8,2024,28,154,54,439382,12.5,28.5714285714286,33.5,23.6,-0.392243830524807
"08 Xainyabouli",8,2024,29,144,37,439382,73.6,28.7428571428571,33.4857142857143,23.9571428571429,1.24773906466453
"08 Xainyabouli",8,2024,30,177,43,439382,69,29.0428571428571,35,23.0142857142857,1.12427063065683
"08 Xainyabouli",8,2024,31,152,43,439382,43.9,27.3142857142857,30.3428571428571,24.2285714285714,0.450562436397375
"08 Xainyabouli",8,2024,32,131,35,439382,126.6,25.1285714285714,27.6285714285714,22.6142857142857,2.67031015214465
"09 Xiangkhouang",9,2024,14,0,214,274365,0,24.3,32.3571428571429,16.2142857142857,-0.664197439540291
"09 Xiangkhouang",9,2024,15,0,169,274365,3.7,25.3571428571429,32.2428571428571,18.4285714285714,-0.577318187966776
"09 Xiangkhouang",9,2024,16,0,251,274365,21.7,26.4142857142857,32.8857142857143,19.9285714285714,-0.154662369501028
"09 Xiangkhouang",9,2024,17,0,283,274365,34.2,25.9428571428571,31.3428571428571,20.5,0.138848615544631
"09 Xiangkhouang",9,2024,18,0,268,274365,13.9,25,30.4571428571429,19.5285714285714,-0.337813224169519
"09 Xiangkhouang",9,2024,19,1,233,274365,10.4,25.7428571428571,31.2285714285714,20.2285714285714,-0.419996299982303
"09 Xiangkhouang",9,2024,20,0,260,274365,51.8,23.5571428571429,28.1714285714286,18.9285714285714,0.552112082488918
"09 Xiangkhouang",9,2024,21,0,205,274365,70.7,25.9571428571429,31.7142857142857,20.1857142857143,0.995900691877954
"09 Xiangkhouang",9,2024,22,0,151,274365,43.3,26.7285714285714,32.1142857142857,21.3,0.35252461265787
"09 Xiangkhouang",9,2024,23,0,149,274365,67.8,25.1428571428571,29.3142857142857,20.9285714285714,0.927806143347361
"09 Xiangkhouang",9,2024,24,1,145,274365,23.8,25.2857142857143,29.2285714285714,21.3428571428571,-0.105352524013357
"09 Xiangkhouang",9,2024,25,0,147,274365,13.3,24.8857142857143,28.8142857142857,20.9285714285714,-0.35190175145171
"09 Xiangkhouang",9,2024,26,0,103,274365,106.6,24.5142857142857,28.3,20.7142857142857,1.83886424092909
"09 Xiangkhouang",9,2024,27,0,163,274365,72.8,25.0571428571429,28.8857142857143,21.1714285714286,1.04521053736562
"09 Xiangkhouang",9,2024,28,2,112,274365,7.4,24.9285714285714,28.8,21.0571428571429,-0.490438936393261
"09 Xiangkhouang",9,2024,29,13,132,274365,25.5,24.7,28.2571428571429,21.0857142857143,-0.0654350300471475
"09 Xiangkhouang",9,2024,30,10,111,274365,40,25.7285714285714,30.3285714285714,21.1,0.275037712605817
"09 Xiangkhouang",9,2024,31,10,117,274365,134.2,23.5714285714286,25.7857142857143,21.3285714285714,2.4869364959099
